"county","mean_Forested","min_Forested","max_Forested"
"Adams",2547.35547252112,2503.50630676858,2593.73468025444
"Alexander",2538.38514478249,2457.5461791058,2653.52090641424
"Bond",2394.091403797,2381.58332695299,2410.80590236507
"Boone",214.178406740077,192.807345759743,233.200272682381
"Brown",600.662732782481,599.242908783899,601.539100446618
"Bureau",1442.93030668792,1416.90522040341,1474.1671239383
"Calhoun",4090.62297421147,3990.67631461079,4166.30814074599
"Carroll",254.511091753559,235.109537165436,264.834498861382
"Cass",1542.42889346232,1524.36128877946,1566.51593796232
"Champaign",755.462481523613,743.349918994612,782.123523045401
"Christian",2368.02221877222,2305.97982252842,2420.49085350961
"Clark",1784.36930628929,1779.16573686925,1788.18671133049
"Clay",5476.91423557078,5452.61605925924,5520.42635128497
"Clinton",10386.1377597957,10233.1293403232,10597.6390435444
"Coles",1387.97090404,1376.65013457012,1398.46262001149
"Cook",0,0,0
"Crawford",3742.8470283548,3717.68409634431,3779.88872226174
"Cumberland",957.024694093133,955.424475525168,959.10868951482
"De Witt",407.880903763636,402.898651968909,412.594524142512
"DeKalb",0,0,0
"Douglas",962.250584639205,936.223143648095,978.26909813776
"DuPage",0,0,0
"Edgar",1130.85775573434,1130.57704030939,1131.03296005238
"Edwards",1679.85093662546,1673.20229016575,1695.90418240946
"Effingham",1421.36524303558,1418.00051938258,1422.48681758658
"Fayette",4736.96435608708,4687.82487593441,4786.63120058078
"Ford",70.4924393878714,68.4100407094819,71.4670348346487
"Franklin",5762.42254583127,5470.64606222117,6140.4208143889
"Fulton",1676.02560115741,1653.2069969785,1694.16981467919
"Gallatin",3926.1737057112,3660.97943983528,4321.3121627659
"Greene",1972.19476996143,1898.21492098277,2084.27090305081
"Grundy",0,0,0
"Hamilton",2022.37937590742,2002.52143929817,2060.71511142461
"Hancock",2591.15482263343,2545.12214521466,2624.46182503991
"Hardin",633.827957477779,625.501001278039,637.181018413354
"Henderson",1506.43929387312,1438.56528968557,1624.07242295957
"Henry",743.331178039904,718.077444319869,770.477615974338
"Iroquois",860.553289988128,842.833839359703,894.505408527871
"Jackson",4702.24152373683,4620.21031041008,4817.65953743291
"Jasper",2057.3899012542,2039.40268220148,2078.56623534767
"Jefferson",5462.1896664157,5320.5131995908,5618.60884330109
"Jersey",772.462533497743,761.453097962397,781.892792235711
"Jo Daviess",124.48043879714,119.106189735778,133.351442538075
"Johnson",1412.79297343269,1253.9498238266,1664.64117139533
"Kane",0,0,0
"Kankakee",266.698325442452,249.405213771548,284.884470061256
"Kendall",308.89228707272,300.332736447396,327.217700114029
"Knox",750.579439778454,744.921853487689,754.947782683191
"Lake",0,0,0
"LaSalle",1073.3076555181,1014.28646818057,1146.33132248551
"Lawrence",3443.81929352663,3400.84616842909,3475.25876364043
"Lee",461.077608396907,448.081848894459,481.043750734504
"Livingston",734.75778274613,718.186921830813,746.321342649877
"Logan",1424.34416735886,1411.69578878659,1437.12804675727
"Macon",969.781745537355,960.099932402608,981.311557446665
"Macoupin",1581.67714275728,1555.64237870288,1603.1467186013
"Madison",5163.11788591215,5130.54218263224,5188.17996191957
"Marion",4642.25659467947,4624.84414030255,4655.24403398282
"Marshall",661.608670648344,639.627305786742,694.723261538423
"Mason",2530.85511325844,2414.91067704697,2685.96501798854
"Massac",2166.82293591592,2051.52663513939,2344.46428250744
"McDonough",1147.83616281479,1126.47474894787,1173.13668695098
"McHenry",0,0,0
"McLean",848.080161768089,836.998380582156,855.873506986138
"Menard",789.788956890726,786.688051153573,792.872999449953
"Mercer",1506.22671803363,1479.81771480456,1536.79891926395
"Monroe",1989.61423223777,1868.92958992443,2123.08424821348
"Montgomery",1445.98466395243,1438.59117601419,1454.47886021102
"Morgan",701.193634072377,688.365464478857,713.838633473418
"Moultrie",608.843437429652,594.73956750863,628.292361260893
"Ogle",499.927849316764,489.286501612283,515.766937628359
"Peoria",1787.19184807634,1752.84147251481,1812.27747383542
"Perry",4952.56689460353,4821.79643684293,5097.70437870143
"Piatt",369.932867192171,367.570834595893,373.991841374252
"Pike",3760.85572696726,3727.17669129213,3787.36178803905
"Pope",1711.39130726167,1637.64448179896,1834.10194984908
"Pulaski",1612.10924369045,1491.9989990663,1781.29603833232
"Putnam",315.461235507761,299.693935512858,331.440782467356
"Randolph",3663.57910177509,3605.90782884519,3701.95309147041
"Richland",3045.64278520647,3026.55041000886,3060.93268734516
"Rock Island",1080.34274768287,991.949379476691,1151.41990210409
"Saline",3504.85259795053,3428.41304598844,3566.52245574621
"Sangamon",2905.13304797604,2855.25544154818,2947.59291500335
"Schuyler",1642.35434926249,1619.74936085023,1674.56739797822
"Scott",639.218913544236,628.908826091491,646.602371584717
"Shelby",1471.95484356375,1463.49842680998,1484.38782082266
"St. Clair",7101.88576084717,6968.55035351758,7266.20638548342
"Stark",191.506792081921,189.223815687722,194.520359583376
"Stephenson",503.430617028138,487.707935462458,532.951274460791
"Tazewell",1957.24457693584,1929.57675843532,1970.87342844632
"Union",2535.25812841195,2502.76329944498,2573.5385739395
"Vermilion",944.549222403829,931.572058862024,969.266593718204
"Wabash",2215.15469158139,2177.18494250457,2251.18367295047
"Warren",415.77942611134,405.506662999159,423.177076826145
"Washington",6319.26894042061,6273.73788228266,6379.51952089309
"Wayne",8433.46582139368,8407.70452502262,8473.27627200103
"White",4013.70794429349,3900.19619852767,4156.9051241323
"Whiteside",1213.600153563,1174.80920134236,1250.98513677113
"Will",0,0,0
"Williamson",3408.18398663713,3292.5505856878,3553.56261359198
"Winnebago",602.773164852483,559.565301511308,673.073742871291
"Woodford",926.109962899345,913.170003849922,946.375610373614
